2,saeng,3,다연회,0,17130,홍차시럽(1개) : 5000#요거베리티(1잔) : 2500,,,,,,,,,,,,,,,,,,
3,saeng,3,다연회,0,17130,홍차시럽(1개) : 5000#요거베리티(1잔) : 2500,,,,,,,,,,,,,,,,,,
3,hakm_forest,49,당고가당겨,0,17668,두부당고(두부당고는 연두부와 찹쌀가루를 섞은 반죽으로 만들어 일반당고보다 쫠깃한 당고입니다) : 1500#구운 두부당고 : 2000,,,,,,,,,,,,,,,,,,
1,gate,8,더나은플라스틱대응위원회,0,14185,친환경 화분(플라스틱 컵 가져올 시) : 무료#그릇 대여 : (보증금 5000) 반납 시 무료,인스타 : @betteractionpl,,,,,,,,,,,,,,,,,
2,gate,8,더나은플라스틱대응위원회,0,14185,친환경 화분(플라스틱 컵 가져올 시) : 무료#그릇 대여 : (보증금 5000) 반납 시 무료,인스타 : @betteractionpl,,,,,,,,,,,,,,,,,
3,gate,8,더나은플라스틱대응위원회,0,14185,친환경 화분(플라스틱 컵 가져올 시) : 무료#그릇 대여 : (보증금 5000) 반납 시 무료,인스타 : @betteractionpl,,,,,,,,,,,,,,,,,
1,hak,13,독어독문학과 학생회,0,,불닭볶음밥 : 2500#코코펄피치에이드 : 2000#밥 + 음료 SET : 4000,"인스타 : @ewha_german, 페북 : @이화여자대학교 독어독문학과",,,,,,,,,,,,,,,,,
2,hak,13,독어독문학과 학생회,0,,불닭볶음밥 : 2500#코코펄피치에이드 : 2000#밥 + 음료 SET : 4000,"인스타 : @ewha_german, 페북 : @이화여자대학교 독어독문학과",,,,,,,,,,,,,,,,,
3,hak,13,독어독문학과 학생회,0,,불닭볶음밥 : 2500#코코펄피치에이드 : 2000#밥 + 음료 SET : 4000,"인스타 : @ewha_german, 페북 : @이화여자대학교 독어독문학과",,,,,,,,,,,,,,,,,
1,saeng,17,동아리 SSOM,0,,묵사발 : 3000,,,,,,,,,,,,,,,,,,
1,hakm_forest,38,"동아리, 이화채널",0,13512,다꾸스티커 2장 : 1000#노트북스티커 개당 : 500#떡메 : 1500#스모어(3개) : 2000#스모어(5개) : 3000,인스타: @ewhachannel,,,,,,,,,,,,,,,,,
2,hakm_forest,38,"동아리, 이화채널",0,13512,다꾸스티커 2장 : 1000#노트북스티커 개당 : 500#떡메 : 1500#스모어(3개) : 2000#스모어(5개) : 3000,인스타: @ewhachannel,,,,,,,,,,,,,,,,,
